ID,Account Balance,Duration of Credit (month),Payment Status of Previous Credit,Purpose,Credit Amount,Value Savings/Stocks,Length of current employment,Instalment per cent,Sex,Marital Status,Guarantors,Duration in Current address,Most valuable available asset,Age (years),Concurrent Credits,Type of apartment,No of Credits at this Bank,Occupation,No of dependents,Telephone,Foreign Worker,Creditability,AgeGroup,Duration of credit,Credit Amount Group
168,no account,18,other bank,furniture/equipment,3780,poor,less than 1  year,moderate,male,single,0,1 to 4 years,saving,35,none,own,more than 1,office,0,1,1,Good,Adult,within 2 year,middle
169,Negative,36,other bank,furniture/equipment,5371,poor,1 to 4 years,moderate,male,single,1,1 to 4 years,insurance,28,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
170,poor,18,other bank,furniture/equipment,1795,poor,more than 7 years,moderate,female,married,1,more than 7 years,property,48,bank,rent,more than 1,unskilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
171,poor,48,all credits at this bank paid back duly,business,3566,moderate,4 to 7 years,most,male,single,0,1 to 4 years,saving,30,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
172,poor,16,other bank,new car,1175,poor,unemployed,moderate,male,single,0,4 to 7 years,saving,68,none,free,more than 1,unemployed,0,1,1,Good,Old.Adult,within 2 year,less than 2k
173,poor,12,existing  credits paid back duly till now,furniture/equipment,2930,poor,4 to 7 years,moderate,female,married,0,less than 1 year,property,27,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
174,Negative,24,existing  credits paid back duly till now,furniture/equipment,2384,poor,more than 7 years,most,male,single,0,more than 7 years,property,64,bank,rent,1,unskilled,0,0,1,Good,Old.Adult,more than 2 year,middle
175,Negative,6,existing  credits paid back duly till now,new car,662,poor,less than 1  year,moderate,male,single,0,more than 7 years,property,41,none,own,1,unskilled,1,1,1,Good,Old.Adult,within 1 year,less than 2k
176,no account,12,other bank,furniture/equipment,930,none,more than 7 years,most,male,single,0,more than 7 years,property,65,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
177,Negative,12,all credits at this bank paid back duly,furniture/equipment,626,poor,1 to 4 years,most,female,married,0,more than 7 years,property,24,bank,own,1,unskilled,0,0,1,Bad,Youth,within 2 year,less than 2k
178,no account,12,other bank,furniture/equipment,1402,moderate,4 to 7 years,moderate,female,married,0,more than 7 years,saving,37,none,rent,1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
179,rich,9,existing  credits paid back duly till now,furniture/equipment,745,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,property,28,none,own,1,unskilled,0,0,1,Bad,Adult,within 1 year,less than 2k
180,no account,6,existing  credits paid back duly till now,furniture/equipment,1543,rich,1 to 4 years,most,male,single,0,1 to 4 years,property,33,none,own,1,skilled,0,0,1,Good,Adult,within 1 year,less than 2k
181,Negative,12,all credits at this bank paid back duly,education,339,poor,more than 7 years,most,male,married,0,less than 1 year,saving,45,bank,own,1,unskilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
182,poor,30,delay history,furniture/equipment,1919,moderate,less than 1  year,most,male,single,0,4 to 7 years,none,30,stores,own,more than 1,office,0,0,1,Bad,Adult,more than 2 year,less than 2k
183,Negative,6,other bank,furniture/equipment,338,moderate,more than 7 years,most,male,single,0,more than 7 years,saving,52,none,own,more than 1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
184,no account,11,other bank,new car,1393,poor,less than 1  year,most,female,married,0,more than 7 years,saving,35,none,own,more than 1,office,0,0,1,Good,Adult,within 1 year,less than 2k
185,no account,24,other bank,education,1597,poor,more than 7 years,most,male,single,0,more than 7 years,none,54,none,free,more than 1,skilled,1,0,1,Good,Old.Adult,more than 2 year,less than 2k
186,Negative,30,existing  credits paid back duly till now,furniture/equipment,2406,poor,4 to 7 years,most,female,married,0,more than 7 years,property,23,none,rent,1,skilled,0,0,1,Bad,Youth,more than 2 year,middle
187,Negative,24,existing  credits paid back duly till now,furniture/equipment,1282,moderate,1 to 4 years,most,female,married,0,1 to 4 years,saving,32,none,own,1,unskilled,0,0,1,Bad,Adult,more than 2 year,less than 2k
188,Negative,14,existing  credits paid back duly till now,new car,3973,poor,unemployed,less,male,single,0,more than 7 years,none,22,none,free,1,skilled,0,0,1,Good,Youth,within 2 year,middle
189,no account,24,delay history,new car,717,none,more than 7 years,most,male,married,0,more than 7 years,saving,54,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
190,no account,24,existing  credits paid back duly till now,furniture/equipment,1278,poor,more than 7 years,most,male,single,0,less than 1 year,property,36,none,own,1,office,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
191,rich,42,other bank,used car,4796,poor,more than 7 years,most,male,single,0,more than 7 years,none,56,none,free,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
192,poor,9,existing  credits paid back duly till now,new car,276,poor,1 to 4 years,most,male,married,0,more than 7 years,property,22,none,rent,1,unskilled,0,0,1,Good,Youth,within 1 year,less than 2k
193,poor,15,existing  credits paid back duly till now,furniture/equipment,1444,none,less than 1  year,most,male,single,0,less than 1 year,insurance,23,none,own,1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
194,Negative,42,existing  credits paid back duly till now,furniture/equipment,3965,poor,less than 1  year,most,male,single,0,4 to 7 years,saving,34,none,own,1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
195,Negative,15,existing  credits paid back duly till now,new car,1721,poor,less than 1  year,moderate,male,single,0,4 to 7 years,property,36,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
196,no account,15,existing  credits paid back duly till now,used car,3029,poor,4 to 7 years,moderate,male,single,0,1 to 4 years,saving,33,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
197,poor,14,existing  credits paid back duly till now,business,1410,moderate,more than 7 years,less,male,married,0,1 to 4 years,property,35,none,own,1,skilled,0,1,1,Good,Adult,within 2 year,less than 2k
198,poor,12,existing  credits paid back duly till now,new car,1223,poor,more than 7 years,less,male,single,0,less than 1 year,property,46,none,rent,more than 1,skilled,0,0,1,Bad,Old.Adult,within 2 year,less than 2k
199,poor,12,existing  credits paid back duly till now,new car,1295,poor,less than 1  year,moderate,female,married,0,less than 1 year,saving,25,none,rent,1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
200,Negative,24,all credits at this bank paid back duly,furniture/equipment,3349,moderate,less than 1  year,most,male,single,0,more than 7 years,none,30,none,free,1,skilled,1,1,1,Bad,Adult,more than 2 year,middle
201,poor,60,delay history,furniture/equipment,7418,none,1 to 4 years,less,male,single,0,less than 1 year,property,27,none,own,1,unskilled,0,0,1,Good,Adult,more than 2 year,middle
202,poor,39,other bank,furniture/equipment,4933,poor,4 to 7 years,moderate,male,single,1,1 to 4 years,property,25,none,own,more than 1,skilled,0,0,1,Bad,Adult,more than 2 year,middle
203,rich,6,other bank,education,1047,poor,1 to 4 years,moderate,female,married,0,more than 7 years,insurance,50,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
204,no account,12,existing  credits paid back duly till now,furniture/equipment,2171,poor,less than 1  year,moderate,female,married,0,1 to 4 years,saving,29,bank,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
205,rich,36,existing  credits paid back duly till now,furniture/equipment,5848,poor,1 to 4 years,most,male,single,0,less than 1 year,saving,24,none,own,1,skilled,0,0,1,Good,Youth,more than 2 year,middle
206,poor,12,existing  credits paid back duly till now,new car,6078,poor,4 to 7 years,moderate,male,single,0,1 to 4 years,saving,32,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
207,no account,12,existing  credits paid back duly till now,furniture/equipment,1123,moderate,1 to 4 years,most,female,married,0,more than 7 years,saving,29,none,rent,1,unskilled,0,0,1,Bad,Adult,within 2 year,less than 2k
208,Negative,18,other bank,furniture/equipment,1049,poor,less than 1  year,most,female,married,0,more than 7 years,insurance,21,none,rent,1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
209,no account,15,existing  credits paid back duly till now,furniture/equipment,1213,moderate,more than 7 years,most,male,single,0,4 to 7 years,insurance,47,stores,own,1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
210,no account,24,existing  credits paid back duly till now,furniture/equipment,1376,moderate,4 to 7 years,most,female,married,0,less than 1 year,saving,28,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,less than 2k
211,no account,12,other bank,furniture/equipment,1240,none,more than 7 years,most,female,married,0,1 to 4 years,property,38,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 2 year,less than 2k
212,poor,18,existing  credits paid back duly till now,education,1239,none,1 to 4 years,most,male,single,0,more than 7 years,none,61,none,free,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
213,Negative,24,existing  credits paid back duly till now,furniture/equipment,1747,poor,less than 1  year,most,male,single,1,less than 1 year,insurance,24,none,own,1,unskilled,0,0,0,Good,Youth,more than 2 year,less than 2k
214,poor,18,other bank,furniture/equipment,3612,poor,more than 7 years,moderate,female,married,0,more than 7 years,insurance,37,none,own,1,skilled,0,1,0,Good,Old.Adult,within 2 year,middle
215,no account,15,existing  credits paid back duly till now,new car,3556,none,1 to 4 years,moderate,male,single,0,1 to 4 years,none,29,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
216,no account,18,no credits taken/ all credits paid back duly,business,4165,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,36,stores,own,more than 1,skilled,1,0,1,Bad,Old.Adult,within 2 year,middle
217,Negative,24,existing  credits paid back duly till now,new car,4817,poor,4 to 7 years,moderate,male,single,1,4 to 7 years,insurance,31,none,own,1,skilled,0,1,1,Bad,Adult,more than 2 year,middle
218,Negative,18,existing  credits paid back duly till now,new car,1216,poor,less than 1  year,most,female,married,0,4 to 7 years,saving,23,none,rent,1,skilled,0,1,1,Bad,Youth,within 2 year,less than 2k
219,no account,6,existing  credits paid back duly till now,furniture/equipment,2108,poor,4 to 7 years,moderate,male,married,0,1 to 4 years,property,29,none,rent,1,skilled,0,0,1,Good,Adult,within 1 year,middle
220,Negative,6,other bank,new car,860,poor,more than 7 years,less,female,married,0,more than 7 years,none,39,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
221,poor,12,existing  credits paid back duly till now,business,1037,moderate,4 to 7 years,moderate,male,single,0,more than 7 years,property,39,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
222,no account,24,other bank,new car,2022,poor,1 to 4 years,most,female,married,0,more than 7 years,saving,37,none,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
223,Negative,48,all credits at this bank paid back duly,business,7685,poor,4 to 7 years,moderate,female,married,1,more than 7 years,saving,37,none,rent,1,skilled,0,0,1,Bad,Old.Adult,more than 2 year,middle
224,poor,27,other bank,furniture/equipment,2520,moderate,1 to 4 years,most,male,single,0,1 to 4 years,insurance,23,none,own,more than 1,unskilled,0,0,1,Bad,Youth,more than 2 year,middle
225,no account,6,other bank,furniture/equipment,700,none,more than 7 years,most,male,single,0,more than 7 years,none,36,none,free,more than 1,skilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
226,no account,28,all credits at this bank paid back duly,used car,7824,none,less than 1  year,moderate,male,single,1,more than 7 years,property,40,bank,rent,more than 1,skilled,1,1,1,Good,Old.Adult,more than 2 year,middle
227,poor,9,other bank,education,1136,rich,more than 7 years,most,male,single,0,4 to 7 years,none,32,none,free,more than 1,skilled,1,0,1,Bad,Adult,within 1 year,less than 2k
228,no account,12,existing  credits paid back duly till now,new car,1884,poor,more than 7 years,most,male,single,0,more than 7 years,saving,39,none,own,1,office,0,1,1,Good,Old.Adult,within 2 year,less than 2k
229,no account,36,other bank,furniture/equipment,3342,none,more than 7 years,most,male,single,0,1 to 4 years,saving,51,none,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
230,poor,30,other bank,new car,5234,poor,unemployed,most,male,married,0,1 to 4 years,saving,28,none,own,more than 1,office,0,0,1,Bad,Adult,more than 2 year,middle
231,no account,33,delay history,business,2764,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,saving,26,none,own,more than 1,skilled,0,1,1,Good,Adult,more than 2 year,middle
232,no account,10,other bank,new car,1231,poor,more than 7 years,moderate,male,single,0,more than 7 years,property,32,none,own,more than 1,unskilled,1,0,0,Good,Adult,within 1 year,less than 2k
233,poor,18,other bank,new car,1056,poor,more than 7 years,moderate,male,single,1,4 to 7 years,property,30,none,own,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
234,poor,15,existing  credits paid back duly till now,new car,2631,moderate,1 to 4 years,moderate,female,married,0,more than 7 years,saving,28,none,rent,more than 1,skilled,0,1,1,Bad,Adult,within 2 year,middle
235,no account,12,existing  credits paid back duly till now,furniture/equipment,2279,none,1 to 4 years,most,male,single,0,more than 7 years,none,37,none,free,1,skilled,0,1,1,Good,Old.Adult,within 2 year,middle
236,poor,48,other bank,furniture/equipment,5096,poor,1 to 4 years,moderate,female,married,0,4 to 7 years,saving,30,none,own,1,office,0,1,1,Bad,Adult,more than 2 year,middle
237,poor,12,existing  credits paid back duly till now,furniture/equipment,766,moderate,1 to 4 years,most,male,single,0,4 to 7 years,property,66,none,own,1,unskilled,0,0,1,Bad,Old.Adult,within 2 year,less than 2k
238,Negative,12,other bank,new car,2121,poor,1 to 4 years,most,male,single,0,1 to 4 years,insurance,30,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,middle
239,no account,30,existing  credits paid back duly till now,furniture/equipment,1867,none,more than 7 years,most,male,single,0,more than 7 years,saving,58,none,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
240,poor,48,no credits taken/ all credits paid back duly,new car,8358,moderate,less than 1  year,less,female,married,0,less than 1 year,saving,30,none,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
241,rich,36,existing  credits paid back duly till now,furniture/equipment,4473,poor,more than 7 years,most,male,single,0,1 to 4 years,saving,31,none,own,1,skilled,0,0,1,Good,Adult,more than 2 year,middle
242,poor,21,existing  credits paid back duly till now,business,2767,moderate,more than 7 years,most,male,single,0,1 to 4 years,saving,61,none,rent,more than 1,unskilled,0,0,1,Bad,Old.Adult,within 2 year,middle
243,no account,18,other bank,furniture/equipment,1098,poor,unemployed,most,female,married,0,more than 7 years,saving,65,none,own,more than 1,unemployed,0,0,1,Good,Old.Adult,within 2 year,less than 2k
244,rich,24,other bank,new car,1344,none,4 to 7 years,most,male,single,0,1 to 4 years,property,37,bank,own,more than 1,unskilled,1,0,1,Bad,Old.Adult,more than 2 year,less than 2k
245,Negative,21,existing  credits paid back duly till now,furniture/equipment,3357,rich,less than 1  year,most,female,married,0,1 to 4 years,saving,29,bank,own,1,skilled,0,0,1,Good,Adult,within 2 year,middle
246,Negative,12,existing  credits paid back duly till now,new car,1274,poor,less than 1  year,moderate,female,married,0,less than 1 year,property,37,bank,own,1,unskilled,0,0,1,Bad,Old.Adult,within 2 year,less than 2k
247,no account,11,other bank,new car,7228,poor,1 to 4 years,less,male,single,0,more than 7 years,insurance,39,none,own,more than 1,unskilled,0,0,1,Good,Old.Adult,within 1 year,middle
248,Negative,36,existing  credits paid back duly till now,education,1977,none,more than 7 years,most,male,single,0,more than 7 years,none,40,none,own,1,office,0,1,1,Bad,Old.Adult,more than 2 year,less than 2k
249,Negative,24,existing  credits paid back duly till now,furniture/equipment,1987,poor,1 to 4 years,moderate,male,single,0,more than 7 years,property,21,none,rent,1,unskilled,1,0,1,Bad,Youth,more than 2 year,less than 2k
250,no account,12,existing  credits paid back duly till now,furniture/equipment,3059,rich,4 to 7 years,moderate,male,single,0,more than 7 years,property,61,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 2 year,middle
251,poor,42,all credits at this bank paid back duly,used car,9283,poor,unemployed,less,male,single,0,1 to 4 years,none,55,bank,free,1,office,0,1,1,Good,Old.Adult,more than 2 year,middle
252,poor,48,existing  credits paid back duly till now,furniture/equipment,10961,rich,4 to 7 years,less,male,single,1,1 to 4 years,none,27,bank,own,more than 1,skilled,0,1,1,Bad,Adult,more than 2 year,more than 10k
253,Negative,6,existing  credits paid back duly till now,education,448,poor,less than 1  year,most,female,married,0,more than 7 years,insurance,23,none,own,1,skilled,0,0,1,Bad,Youth,within 1 year,less than 2k
254,poor,18,delay history,new car,2899,none,more than 7 years,most,male,single,0,more than 7 years,saving,43,none,own,1,skilled,1,0,1,Good,Old.Adult,within 2 year,middle
255,no account,48,existing  credits paid back duly till now,furniture/equipment,10222,none,4 to 7 years,most,male,single,0,4 to 7 years,saving,37,stores,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,more than 10k
256,Negative,15,no credits taken/ all credits paid back duly,new car,950,poor,more than 7 years,most,male,single,0,4 to 7 years,saving,33,none,rent,more than 1,skilled,1,0,1,Bad,Adult,within 2 year,less than 2k
257,poor,20,delay history,used car,7057,none,4 to 7 years,moderate,male,single,0,more than 7 years,insurance,36,bank,rent,more than 1,office,1,1,1,Good,Old.Adult,within 2 year,middle
258,no account,12,other bank,furniture/equipment,1291,poor,1 to 4 years,most,female,married,0,1 to 4 years,insurance,35,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
259,poor,12,existing  credits paid back duly till now,furniture/equipment,951,moderate,less than 1  year,most,female,married,0,more than 7 years,saving,27,bank,rent,more than 1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
260,Negative,24,other bank,used car,6419,poor,more than 7 years,moderate,female,married,0,more than 7 years,none,44,none,free,more than 1,office,1,1,1,Good,Old.Adult,more than 2 year,middle
261,no account,24,existing  credits paid back duly till now,used car,2679,poor,less than 1  year,most,female,married,0,less than 1 year,none,29,none,own,1,office,0,1,1,Good,Adult,more than 2 year,middle
262,no account,12,existing  credits paid back duly till now,used car,2445,none,less than 1  year,moderate,male,married,0,more than 7 years,saving,26,none,rent,1,skilled,0,1,1,Good,Adult,within 2 year,middle
263,poor,9,existing  credits paid back duly till now,furniture/equipment,458,poor,1 to 4 years,most,male,single,0,4 to 7 years,property,24,none,own,1,skilled,0,0,1,Good,Youth,within 1 year,less than 2k
264,poor,15,existing  credits paid back duly till now,repairs,1514,moderate,1 to 4 years,most,male,single,1,1 to 4 years,property,22,none,own,1,skilled,0,0,1,Good,Youth,within 2 year,less than 2k
265,Negative,18,all credits at this bank paid back duly,furniture/equipment,1553,poor,1 to 4 years,most,male,single,0,4 to 7 years,saving,44,bank,own,1,skilled,0,0,1,Bad,Old.Adult,within 2 year,less than 2k
266,poor,18,other bank,furniture/equipment,1245,poor,1 to 4 years,most,male,married,0,1 to 4 years,saving,33,none,own,1,skilled,0,0,1,Bad,Adult,within 2 year,less than 2k
267,no account,24,existing  credits paid back duly till now,furniture/equipment,3062,moderate,more than 7 years,most,male,single,0,4 to 7 years,none,32,none,rent,1,skilled,0,1,1,Good,Adult,more than 2 year,middle
268,poor,24,delay history,new car,1965,none,1 to 4 years,most,female,married,0,more than 7 years,saving,42,none,rent,more than 1,skilled,0,1,1,Good,Old.Adult,more than 2 year,less than 2k
269,no account,18,existing  credits paid back duly till now,furniture/equipment,433,poor,unemployed,moderate,female,married,1,more than 7 years,property,22,none,rent,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
270,poor,12,other bank,furniture/equipment,3573,poor,1 to 4 years,less,female,married,0,less than 1 year,property,23,none,own,1,unskilled,0,0,1,Good,Youth,within 2 year,middle
271,Negative,12,existing  credits paid back duly till now,furniture/equipment,1657,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,property,27,none,own,1,skilled,0,0,1,Good,Adult,within 2 year,less than 2k
272,no account,18,other bank,furniture/equipment,2238,poor,1 to 4 years,moderate,female,married,0,less than 1 year,saving,25,none,own,more than 1,skilled,0,0,1,Good,Adult,within 2 year,middle
273,poor,12,existing  credits paid back duly till now,new car,888,poor,more than 7 years,most,male,single,0,more than 7 years,saving,41,bank,own,1,unskilled,1,0,1,Bad,Old.Adult,within 2 year,less than 2k
274,poor,24,other bank,new car,3878,moderate,less than 1  year,most,male,single,0,1 to 4 years,saving,37,none,own,1,skilled,0,1,1,Good,Old.Adult,more than 2 year,middle
275,rich,24,existing  credits paid back duly till now,furniture/equipment,2892,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,51,none,free,1,skilled,0,0,1,Good,Old.Adult,more than 2 year,middle
276,poor,48,no credits taken/ all credits paid back duly,business,14421,poor,1 to 4 years,moderate,male,single,0,1 to 4 years,saving,25,stores,own,1,skilled,0,1,1,Bad,Adult,more than 2 year,more than 10k
277,no account,10,existing  credits paid back duly till now,education,727,moderate,more than 7 years,most,male,single,0,more than 7 years,none,46,none,free,1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
278,no account,9,other bank,education,936,moderate,more than 7 years,most,male,single,0,1 to 4 years,saving,52,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
279,Negative,6,other bank,furniture/equipment,1169,none,more than 7 years,most,male,single,0,more than 7 years,property,67,none,own,more than 1,skilled,0,1,1,Good,Old.Adult,within 1 year,less than 2k
280,rich,18,existing  credits paid back duly till now,furniture/equipment,3049,poor,less than 1  year,less,female,married,0,less than 1 year,insurance,45,stores,own,1,unskilled,0,0,1,Good,Old.Adult,within 2 year,middle
281,no account,18,existing  credits paid back duly till now,repairs,1943,poor,less than 1  year,most,female,married,0,more than 7 years,property,23,none,own,1,skilled,0,0,1,Bad,Youth,within 2 year,less than 2k
282,poor,24,other bank,business,1935,poor,more than 7 years,most,male,single,0,more than 7 years,property,31,none,own,more than 1,skilled,0,1,1,Bad,Adult,more than 2 year,less than 2k
283,Negative,48,existing  credits paid back duly till now,used car,4788,poor,4 to 7 years,most,male,single,0,4 to 7 years,insurance,26,none,own,1,skilled,1,0,1,Good,Adult,more than 2 year,middle
284,no account,24,delay history,business,2375,moderate,1 to 4 years,most,male,single,0,1 to 4 years,saving,44,none,own,more than 1,skilled,1,1,1,Good,Old.Adult,more than 2 year,middle
285,Negative,45,no credits taken/ all credits paid back duly,business,11816,poor,more than 7 years,moderate,male,single,0,more than 7 years,saving,29,none,rent,more than 1,skilled,0,0,1,Bad,Adult,more than 2 year,more than 10k
286,no account,12,other bank,furniture/equipment,618,poor,more than 7 years,most,male,single,0,more than 7 years,property,56,none,own,1,skilled,0,0,1,Good,Old.Adult,within 2 year,less than 2k
287,no account,6,existing  credits paid back duly till now,repairs,660,moderate,4 to 7 years,moderate,male,married,0,more than 7 years,property,23,none,rent,1,unskilled,0,0,1,Good,Youth,within 1 year,less than 2k
288,poor,18,existing  credits paid back duly till now,used car,12976,poor,unemployed,moderate,female,married,0,more than 7 years,none,38,none,free,1,office,0,1,1,Bad,Old.Adult,within 2 year,more than 10k
289,no account,12,existing  credits paid back duly till now,furniture/equipment,1493,poor,less than 1  year,most,female,married,0,4 to 7 years,saving,34,none,own,1,skilled,1,0,1,Good,Adult,within 2 year,less than 2k
290,poor,30,other bank,new car,4249,poor,unemployed,most,male,married,0,1 to 4 years,saving,28,none,own,more than 1,office,0,0,1,Bad,Adult,more than 2 year,middle
291,poor,8,existing  credits paid back duly till now,furniture/equipment,760,poor,4 to 7 years,most,female,married,1,1 to 4 years,property,44,none,own,1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
292,no account,36,other bank,furniture/equipment,9566,poor,1 to 4 years,moderate,female,married,0,1 to 4 years,saving,31,stores,own,more than 1,skilled,0,0,1,Good,Adult,more than 2 year,middle
293,no account,24,existing  credits paid back duly till now,used car,2603,rich,1 to 4 years,moderate,female,married,0,more than 7 years,saving,28,none,rent,1,skilled,0,1,1,Good,Adult,more than 2 year,middle
294,no account,9,other bank,education,1244,none,more than 7 years,most,female,married,0,more than 7 years,insurance,41,none,rent,more than 1,unskilled,0,0,1,Good,Old.Adult,within 1 year,less than 2k
295,no account,36,delay history,new car,10875,poor,more than 7 years,moderate,male,single,0,1 to 4 years,saving,45,none,own,more than 1,skilled,1,1,1,Good,Old.Adult,more than 2 year,more than 10k
296,Negative,18,other bank,new car,5302,poor,more than 7 years,moderate,male,single,0,more than 7 years,none,36,none,free,more than 1,office,0,1,1,Good,Old.Adult,within 2 year,middle
